y	x	d15n.obs
-12.83475	-69.28608	7.00
-12.83647	-69.27829	7.10
-12.83029	-69.27053	7.20
-12.83850	-69.29601	5.80
-12.82568	-69.26103	6.70
-12.92125	-52.37311	5.10
-2.85111	-54.95472	10.50
-3.30963	-54.94185	10.40
-0.63888	-76.15462	6.60
-0.63778	-76.14358	7.30
-18.52448	-60.81249	11.00
-14.83074	-52.15983	6.70
-14.83194	-52.16904	5.80
-3.43955	-72.84581	5.50
-2.64000	-54.59000	10.25
-10.20500	-62.79167	11.10
-24.28333	-48.41667	8.40
-22.60000	-52.23333	8.15
-15.78928	-56.36761	6.02
-15.79902	-56.37106	6.46
-15.83390	-56.37457	5.95
-15.84207	-56.40832	9.57
-16.03676	-56.52023	6.73
-16.10984	-56.59380	7.03
-16.46195	-56.40325	5.01
-16.30293	-56.56216	6.78
-16.39379	-56.62712	6.33
-16.38514	-56.60916	5.40
-17.19216	-56.92213	4.65
-17.04856	-56.95485	1.37
-16.78085	-56.85061	4.86
-16.76447	-56.85211	4.64
-16.61496	-56.74804	7.11
-16.51508	-56.70249	4.49
-16.39400	-56.63688	4.21
-16.39490	-56.62492	4.59
-16.38835	-56.59649	5.63
-51.77047	-71.74956	6.41
-51.61756	-71.99131	-1.17
-51.31486	-72.18289	5.93
-50.30647	-72.78956	4.96
-48.36897	-72.13956	2.51
-51.83281	-71.70972	2.33
-48.37181	-72.05328	4.11
-51.22258	-72.26392	3.27
-46.05675	-71.68636	-1.21
-46.88283	-71.88208	5.73
-50.52453	-72.78164	2.30
-50.55350	-72.84200	2.37
-50.46197	-73.02353	-1.33
-50.46553	-73.02869	-0.93
-49.23800	-72.90292	-2.34
-50.47278	-72.99375	-0.22
-49.28444	-72.88864	1.00
-49.17772	-72.94831	-3.74
-46.86667	-71.86667	4.18
-49.21111	-72.95672	2.33
-51.56519	-72.35569	5.59
-51.57392	-72.00519	2.60
-48.32914	-72.18819	4.67
-51.22258	-72.27903	2.75
-48.42717	-71.82842	5.91
-51.61931	-71.99283	-1.63
-51.57256	-72.30975	3.95
-48.44706	-71.83836	4.59
-51.53361	-72.14081	-0.60
-50.43119	-72.75664	2.30
-50.46197	-73.02353	-1.33
-49.14633	-72.94378	-1.23
-49.08108	-72.88903	-4.83
-23.31000	-51.16277	10.90
-19.31083	-46.04888	5.10
-7.65194	-40.14888	14.00
-22.58333	-50.38333	4.12
-22.40000	-49.70000	4.94
-40.11667	-72.85000	0.4979
-40.78333	-72.20000	-3.34
-40.20000	-73.43333	-0.76
-38.75000	-63.75000	3.75
